name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Ja'Marr Chase,CIN,WR,25.1,5856,7564,15281,10973,1,1,139
Justin Jefferson,MIN,WR,25.8,7569,6794,14836,9914,2,2,-29
Jahmyr Gibbs,DET,RB,23,9821,9221,16162,9375,3,1,249
Bijan Robinson,ATL,RB,23.2,9833,9509,16161,9177,4,2,52
Malik Nabers,NYG,WR,21.7,11737,11632,16615,8427,5,3,433
CeeDee Lamb,DAL,WR,26,4835,6786,14832,7626,6,4,-400
Brock Bowers,LV,TE,22.3,11702,11604,16641,7571,7,1,49
2025 Pick 1.01,null,PICK,null,15622,DP_0_0,DP_0_0,7533,8,1,38
Amon-Ra St. Brown,DET,WR,25.4,1527,7547,15287,7357,9,5,-282
Ashton Jeanty,null,RB,null,12612,12527,UNK,7184,10,3,110
Brian Thomas,JAX,WR,22.5,11726,11631,16618,7115,11,6,-15
Puka Nacua,LAR,WR,23.8,9822,9493,16211,7051,12,7,-196
Saquon Barkley,PHI,RB,28.1,7257,4866,13604,6661,13,4,-489
Josh Allen,BUF,QB,28.8,6170,4984,13589,6056,14,1,9
Nico Collins,HOU,WR,26,5030,7569,15290,5862,15,8,-380
Drake London,ATL,WR,23.7,998,8112,15751,5823,16,9,52
Jayden Daniels,WAS,QB,24.3,11701,11566,16581,5806,17,2,324
De'Von Achane,MIA,RB,23.4,9969,9226,16167,5748,18,5,-383
Lamar Jackson,BAL,QB,28.2,3101,4881,13593,5709,19,3,-486
Trey McBride,ARI,TE,25.3,7325,8130,15794,5671,20,2,134
Marvin Harrison Jr,ARI,WR,22.6,11734,11628,16614,5494,21,10,-370
Breece Hall,NYJ,RB,23.8,4576,8155,15708,5302,22,6,-511
2025 Pick 1.02,null,PICK,null,15623,DP_0_1,DP_0_1,5186,23,2,125
A.J. Brown,PHI,WR,27.7,4118,5859,14104,5130,24,11,16
Jaxon Smith-Njigba,SEA,WR,23.1,9924,9488,16185,5119,25,12,-22
2025 Pick 1.03,null,PICK,null,15624,DP_0_2,DP_0_2,5065,26,3,83
Ladd McConkey,LAC,WR,23.4,11766,11635,16627,4987,27,13,-326
Jonathan Taylor,IND,RB,26.2,3046,6813,14802,4933,28,7,-208
