name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Ashton Jeanty";"null";"RB";"null";12612;"12527";"UNK";7685;9;3;199
"Omarion Hampton";"null";"RB";"null";12573;"12507";"UNK";5614;18;5;665
"Travis Hunter";"null";"WR";"null";12617;"12530";"UNK";4658;34;15;1399
"TreVeyon Henderson";"null";"RB";"null";12580;"12529";"UNK";4625;35;10;247
"Tetairoa McMillan";"null";"WR";"null";12635;"12526";"UNK";4504;37;16;-267
"Quinshon Judkins";"null";"RB";"null";12632;"12512";"UNK";4120;41;12;297
"Kaleb Johnson";"null";"RB";"null";12598;"12504";"UNK";3417;58;19;4
"RJ Harvey";"null";"RB";"null";12601;"12489";"UNK";3332;59;20;1396
"Emeka Egbuka";"null";"WR";"null";12595;"12514";"UNK";3158;64;23;-247
"Tyler Warren";"null";"TE";"null";12592;"12518";"UNK";3034;69;4;-534
"Matthew Golden";"null";"WR";"null";12672;"12501";"UNK";2850;78;30;141
"Colston Loveland";"null";"TE";"null";12578;"12517";"UNK";2766;83;6;-124
"Luther Burden";"null";"WR";"null";12590;"12519";"UNK";2692;88;33;-810
"Cam Skattebo";"null";"RB";"null";12643;"12481";"UNK";2634;89;24;68
"Cam Ward";"null";"QB";"null";12603;"12522";"UNK";2503;96;13;152
"Jayden Higgins";"null";"WR";"null";12652;"12484";"UNK";2438;100;37;531
"Tre Harris";"null";"WR";"null";12593;"12509";"UNK";2354;105;40;-95
"Bhayshul Tuten";"null";"RB";"null";12620;"12490";"UNK";2181;118;31;336
"Jack Bech";"null";"WR";"null";12626;"12483";"UNK";2098;125;47;544
"Jaydon Blue";"null";"RB";"null";12622;"12457";"UNK";1864;145;38;509
"Dylan Sampson";"null";"RB";"null";12638;"12469";"UNK";1827;149;39;-407
"Jaylin Noel";"null";"WR";"null";12710;"12536";"UNK";1774;158;55;1368
"Mason Taylor";"null";"TE";"null";12642;"12498";"UNK";1767;159;15;345
"Devin Neal";"null";"RB";"null";12618;"12476";"UNK";1714;164;43;-672
"Kyle Williams";"null";"WR";"null";12713;"12547";"UNK";1701;166;57;1709
"Jalen Royals";"null";"WR";"null";12671;"12505";"UNK";1553;184;60;-206
"Terrance Ferguson";"null";"TE";"null";12596;"12487";"UNK";1549;185;19;386
"Elic Ayomanor";"null";"WR";"null";12623;"12499";"UNK";1531;189;62;-438
"Jaxson Dart";"null";"QB";"null";12609;"12508";"UNK";1517;190;25;117
"Elijah Arroyo";"null";"TE";"null";12650;"12521";"UNK";1464;196;21;-115
"Ollie Gordon";"null";"RB";"null";12616;"12495";"UNK";1441;202;53;-826
"Harold Fannin";"null";"TE";"null";12659;"12506";"UNK";1284;224;25;-300
"DJ Giddens";"null";"RB";"null";12656;"12471";"UNK";1222;232;60;-640
"Jordan James";"null";"RB";"null";12657;"12467";"UNK";1160;239;64;-403
"Jalen Milroe";"null";"QB";"null";12665;"12510";"UNK";1126;243;30;-100
"Shedeur Sanders";"null";"QB";"null";12587;"12524";"UNK";1061;250;31;-730
"Pat Bryant";"null";"WR";"null";12634;"12492";"UNK";1041;254;79;231
"Jarquez Hunter";"null";"RB";"null";11707;"11569";"UNK";1034;255;67;71
"Woody Marks";"null";"RB";"null";12599;"12474";"UNK";1024;258;68;-213
"Tyler Shough";"null";"QB";"null";12686;"12545";"UNK";965;265;32;969
"Isaac TeSlaa";"null";"WR";"null";12679;"12535";"UNK";902;268;85;906
"Brashard Smith";"null";"RB";"null";12591;"12455";"UNK";827;273;69;-557
"Tory Horton";"null";"WR";"null";12637;"12497";"UNK";808;278;92;-320
"Xavier Restrepo";"null";"WR";"null";12649;"12520";"UNK";704;291;98;-1016
"Trevor Etienne";"null";"RB";"null";12703;"12531";"UNK";698;292;75;460
"Isaiah Bond";"null";"WR";"null";12655;"12503";"UNK";687;293;99;-1286
"Will Howard";"null";"QB";"null";12619;"12511";"UNK";682;294;37;-104
"Kyle Monangai";"null";"RB";"null";12711;"12534";"UNK";668;295;76;669
"Savion Williams";"null";"WR";"null";12602;"12482";"UNK";656;296;100;-605
"Damien Martinez";"null";"RB";"null";12633;"12462";"UNK";631;298;77;-1100
"Tahj Brooks";"null";"RB";"null";12688;"12543";"UNK";607;302;78;608
"Tai Felton";"null";"WR";"null";12604;"12496";"UNK";602;303;102;-429
"Gunnar Helm";"null";"TE";"null";12640;"12502";"UNK";588;305;37;-639
"Quinn Ewers";"null";"QB";"null";12648;"12500";"UNK";538;310;40;-469
"Oronde Gadsden";"null";"TE";"null";12576;"12493";"UNK";524;313;39;-471
"Dillon Gabriel";"null";"QB";"null";12646;"12486";"UNK";468;320;41;-337
"Tez Johnson";"null";"WR";"null";12667;"12485";"UNK";454;324;111;-1064
"Chimere Dike";"null";"WR";"null";12693;"12540";"UNK";322;349;117;324
"Dont'e Thornton";"null";"WR";"null";12706;"12541";"UNK";298;356;119;300
"Jacory Croskey-Merritt";"null";"RB";"null";12697;"12533";"UNK";291;359;95;292
"Nick Nash";"null";"WR";"null";12621;"12478";"UNK";198;370;126;-721
"Mitchell Evans";"null";"TE";"null";12614;"12473";"UNK";149;379;52;-524
"Kalel Mullings";"null";"RB";"null";12658;"12516";"UNK";149;380;97;-776
"LeQuint Allen";"null";"RB";"null";12714;"12544";"UNK";148;382;98;149
"Riley Leonard";"null";"QB";"null";12613;"12470";"UNK";128;389;58;-419
"Jimmy Horn";"null";"WR";"null";12600;"12523";"UNK";107;396;137;-767
"Kurtis Rourke";"null";"QB";"null";12630;"12477";"UNK";77;409;63;-297
"Kyle McCord";"null";"QB";"null";12647;"12494";"UNK";52;420;66;-453
