name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Ja'Marr Chase,CIN,WR,25.1,5856,7564,15281,10377,1,1,176
Justin Jefferson,MIN,WR,25.8,7569,6794,14836,10135,2,2,96
Saquon Barkley,PHI,RB,28.1,7257,4866,13604,10091,3,1,-239
Jahmyr Gibbs,DET,RB,23,9821,9221,16162,9928,4,2,326
Bijan Robinson,ATL,RB,23.2,9833,9509,16161,9863,5,3,172
CeeDee Lamb,DAL,WR,26,4835,6786,14832,8778,6,3,-169
Amon-Ra St. Brown,DET,WR,25.4,1527,7547,15287,8257,7,4,-84
Ashton Jeanty,null,RB,null,12612,12527,UNK,7639,8,4,360
Jonathan Taylor,IND,RB,26.2,3046,6813,14802,7350,9,5,-149
Derrick Henry,BAL,RB,31.2,5421,3198,12626,7323,10,6,-515
Josh Allen,BUF,QB,28.8,6170,4984,13589,7279,11,1,224
Puka Nacua,LAR,WR,23.8,9822,9493,16211,7099,12,5,-29
Malik Nabers,NYG,WR,21.7,11737,11632,16615,6955,13,6,693
Christian McCaffrey,SF,RB,28.8,5494,4034,13130,6953,14,7,291
Nico Collins,HOU,WR,26,5030,7569,15290,6939,15,7,-347
De'Von Achane,MIA,RB,23.4,9969,9226,16167,6781,16,8,-390
A.J. Brown,PHI,WR,27.7,4118,5859,14104,6762,17,8,252
Lamar Jackson,BAL,QB,28.2,3101,4881,13593,6467,18,2,-522
Breece Hall,NYJ,RB,23.8,4576,8155,15708,6362,19,9,-594
Brian Thomas,JAX,WR,22.5,11726,11631,16618,6166,20,9,166
Josh Jacobs,GB,RB,27.1,1326,5850,14073,6153,21,10,-424
Brock Bowers,LV,TE,22.3,11702,11604,16641,5790,22,1,210
James Cook,BUF,RB,25.5,182,8138,15715,5737,23,11,-233
Trey McBride,ARI,TE,25.3,7325,8130,15794,5718,24,2,358
Kyren Williams,LAR,RB,24.6,7315,8150,15710,5652,25,12,-167
Drake London,ATL,WR,23.7,998,8112,15751,5527,26,10,273
Joe Burrow,CIN,QB,28.3,1002,6770,14777,5322,27,3,147
Jayden Daniels,WAS,QB,24.3,11701,11566,16581,5026,28,4,660
Alvin Kamara,NO,RB,29.7,4144,4035,13132,4960,29,13,-241
Garrett Wilson,NYJ,WR,24.7,6813,8146,15753,4797,30,11,-596
Bucky Irving,TB,RB,22.6,11779,11584,16598,4686,31,14,-212
Joe Mixon,HOU,RB,28.7,4578,4018,13131,4419,32,15,-644
Marvin Harrison Jr,ARI,WR,22.6,11734,11628,16614,4364,33,12,-318
Tee Higgins,CIN,WR,26.2,5531,6801,14835,4197,34,13,-245
Omarion Hampton,null,RB,null,12573,12507,UNK,4187,35,16,703
Jaxon Smith-Njigba,SEA,WR,23.1,9924,9488,16185,4137,36,14,189
Ladd McConkey,LAC,WR,23.4,11766,11635,16627,4107,37,15,-300
Jalen Hurts,PHI,QB,26.6,6407,6904,14783,3994,38,5,-15
Chase Brown,CIN,RB,25,9967,9224,16181,3961,39,17,-734
Kenneth Walker,SEA,RB,24.4,1749,8151,15711,3928,40,18,-506
David Montgomery,DET,RB,27.8,7515,5892,14071,3882,41,19,-598
Terry McLaurin,WAS,WR,29.5,4864,5927,14109,3825,42,16,-209
DJ Moore,CHI,WR,28,6110,4983,13635,3753,43,17,-146
Patrick Mahomes,KC,QB,29.5,880,4046,13116,3691,44,6,-364
George Kittle,SF,TE,31.5,5709,4217,13299,3630,45,3,-588
Tyreek Hill,MIA,WR,31.1,7958,3321,12801,3579,46,18,-286
Chuba Hubbard,CAR,RB,25.8,183,7594,15261,3486,47,20,-135
Rashee Rice,KC,WR,24.9,9929,10229,16194,3468,48,19,-395
Davante Adams,NYJ,WR,32.3,1503,2133,11675,3366,49,20,1003
Mike Evans,TB,WR,31.6,7495,2216,11671,3240,50,21,-747
DK Metcalf,SEA,WR,27.3,5240,5846,14102,3239,51,22,0
James Conner,ARI,RB,29.9,7447,4137,13146,3147,52,21,31
DeVonta Smith,PHI,WR,26.4,6635,7525,15282,3093,53,23,-748
TreVeyon Henderson,null,RB,null,12580,12529,UNK,3092,54,22,213
Najee Harris,PIT,RB,27,7252,7528,15254,2965,55,23,693
Aaron Jones,MIN,RB,30.3,2382,4199,13319,2853,56,24,410
Tetairoa McMillan,null,WR,null,12635,12526,UNK,2647,57,24,200
Quinshon Judkins,null,RB,null,12632,12512,UNK,2560,58,25,377
Chris Godwin,TB,WR,29.1,2505,4037,13163,2503,59,25,2
Sam LaPorta,DET,TE,24.2,9843,10859,16214,2491,60,4,43
T.J. Hockenson,MIN,TE,27.7,8215,5844,14138,2408,61,5,85
Jaylen Waddle,MIA,WR,26.3,1409,7526,15284,2356,62,26,-189
Brandon Aiyuk,SF,WR,27,6429,6803,14840,2315,63,27,-212
Justin Herbert,LAC,QB,27,8448,6797,14779,2213,64,7,236
Rome Odunze,CHI,WR,22.8,11763,11620,16616,2208,65,28,6
Cooper Kupp,LAR,WR,31.8,5586,4039,13164,2107,66,29,191
Travis Etienne,JAX,RB,26.2,3156,7543,15253,2107,67,26,-475
Chris Olave,NO,WR,24.7,2548,8144,15754,2035,68,30,-395
Tyrone Tracy,NYG,RB,25.3,12123,11655,16747,2027,69,27,-61
Isiah Pacheco,KC,RB,26.1,3777,8205,15749,1834,70,28,-391
Travis Kelce,KC,TE,35.5,2204,1466,11244,1831,71,6,698
Kaleb Johnson,null,RB,null,12598,12504,UNK,1812,72,29,-8
Courtland Sutton,DEN,WR,29.5,818,5045,13630,1731,73,31,-41
Zay Flowers,BAL,WR,24.5,9930,9997,16190,1711,74,32,-626
Tony Pollard,TEN,RB,27.9,407,5967,14085,1592,75,30,-127
Brian Robinson,WAS,RB,26,4174,8154,15716,1508,76,31,-648
Mark Andrews,BAL,TE,29.6,4519,5012,13671,1439,77,7,-52
Jerry Jeudy,CLE,WR,25.9,2427,6783,14833,1412,78,33,28
D'Andre Swift,CHI,RB,26.2,1574,6790,14797,1393,79,32,-397
Bo Nix,DEN,QB,25.1,11728,11563,16582,1340,80,8,230
Deebo Samuel,SF,WR,29.2,2495,5872,14136,1331,81,34,-33
Jordan Addison,MIN,WR,23.2,9847,9756,16186,1272,82,35,-229
Rhamondre Stevenson,NE,RB,27.1,4294,7611,15259,1257,83,33,-427
David Njoku,CLE,TE,28.7,6513,4033,13192,1245,84,8,93
Jordan Love,GB,QB,26.4,3651,6804,14782,1243,85,9,-109
Jameson Williams,DET,WR,24,1100,8148,15756,1243,86,36,-206
