"Rank","Name","Team","Bye","Pos","Age","Height","Weight","Andy","Jason","Mike"
"1","Ashton Jeanty","BOISE","","RB","21.3","5' 9""","211 lbs","1","1","1"
"2","Cam Ward","MIA","","QB","22.9","6' 2""","219 lbs","2","4","3"
"3","Tetairoa McMillan","ARZ","","WR","22","6' 4""","219 lbs","3","5","2"
"4","Omarion Hampton","NCAR","","RB","22","6' 0""","221 lbs","5","2","7"
"5","TreVeyon Henderson","OHIOST","","RB","22.4","5' 10""","202 lbs","8","3","5"
"6","Tyler Warren","PENNST","","TE","22.9","6' 6""","256 lbs","10","6","8"
"7","Luther Burden III","MISSR","","WR","21.3","6' 0""","206 lbs","6","15","4"
"8","Shedeur Sanders","COL","","QB","23.1","6' 2""","212 lbs","4","11","11"
"9","Emeka Egbuka","OHIOST","","WR","22.5","6' 1""","202 lbs","7","10","12"
"10","Travis Hunter","COL","","WR","21.9","6' 1""","185 lbs","15","7","9"
"11","Matthew Golden","TX","","WR","21.7","5' 11""","191 lbs","11","16","6"
"12","Jaxson Dart","MISS","","QB","21.9","6' 2""","223 lbs","14","12","10"
"13","Kaleb Johnson","IOWA","","RB","21.6","6' 1""","224 lbs","13","9","16"
"14","Quinshon Judkins","OHIOST","","RB","21.4","6' 0""","221 lbs","12","17","14"
"15","Cam Skattebo","ARZST","","RB","23.2","5' 10""","219 lbs","17","13","13"
"16","Tre Harris","MISS","","WR","23.1","6' 3""","210 lbs","20","8","17"
"17","Jalen Milroe","ALA","","QB","22.3","6' 2""","217 lbs","9","19","20"
"18","Devin Neal","KAN","","RB","21.6","5' 11""","213 lbs","25","14","18"
"19","Elic Ayomanor","STAN","","WR","21.8","6' 2""","206 lbs","16","23","21"
"20","Quinn Ewers","TX","","QB","22","6' 2""","214 lbs","19","20","22"
"21","Colston Loveland","MICH","","TE","21","6' 6""","248 lbs","31","18","15"
"22","Jack Bech","TCU","","WR","22.3","6' 1""","214 lbs","27","24","19"
"23","Jalen Royals","UTAHST","","WR","22.1","6' 0""","205 lbs","21","28","26"
"24","Isaiah Bond","TX","","WR","21","5' 11""","180 lbs","23","26","29"
"25","Jayden Higgins","IOWAST","","WR","22.3","6' 4""","214 lbs","22","29","28"
"26","Harold Fannin Jr.","BOWLGR","","TE","20.7","6' 3""","241 lbs","33","22","25"
"27","Xavier Restrepo","MIA","","WR","22.9","5' 10""","209 lbs","26","27","31"
"28","Ollie Gordon II","OKST","","RB","21.2","6' 1""","226 lbs","28","36","23"
"29","Savion Williams","TCU","","WR","22.4","6' 4""","222 lbs","24","34","32"
"30","Elijah Arroyo","MIA","","TE","22","6' 5""","250 lbs","34","32","24"
"31","Dylan Sampson","TENN","","RB","20.5","5' 8""","200 lbs","18","39","34"
"32","RJ Harvey","UCF","","RB","24.2","5' 8""","205 lbs","32","21","39"
"33","Bhayshul Tuten","VTECH","","RB","23.1","5' 9""","206 lbs","36","25","36"
"34","Tez Johnson","ORE","","WR","22.9","5' 10""","154 lbs","29","33","35"
"35","Jaylin Noel","IOWAST","","WR","22.6","5' 10""","194 lbs","35","45","27"
"36","DJ Giddens","KANST","","RB","21.6","6' 0""","212 lbs","37","40","30"
"37","Trevor Etienne","GA","","RB","20.7","5' 9""","198 lbs","39","37","37"
"38","Mason Taylor","LSU","","TE","20.9","6' 5""","251 lbs","51","30","33"
"39","Tory Horton","COLST","","WR","22.3","6' 3""","196 lbs","30","46","42"
"40","Tai Felton","MARY","","WR","22","6' 1""","183 lbs","42","35","41"
"41","Damien Martinez","MIA","","RB","21.2","6' 0""","217 lbs","38","43","38"
"42","Terrance Ferguson","ORE","","TE","22.1","6' 5""","247 lbs","45","31","46"
"43","Raheim Sanders","SC","","RB","21.8","6' 0""","217 lbs","41","42","40"
"44","Ricky White III","UNLV","","WR","23.2","6' 1""","184 lbs","40","48","44"
"45","Kaden Prather","MARY","","WR","22.6","6' 4""","204 lbs","44","47","43"
"46","Pat Bryant","ILL","","WR","22.3","6' 2""","204 lbs","43","50","45"
"47","Dillon Gabriel","ORE","","QB","24.3","5' 11""","205 lbs","47","41","52"
"48","Will Howard","OHIOST","","QB","23.5","6' 4""","236 lbs","52","38","51"
"49","Gunnar Helm","TX","","TE","22.6","6' 5""","241 lbs","46","51","47"
"50","Kurtis Rourke","IND","","QB","24.4","6' 4""","220 lbs","49","44","53"
"51","Jackson Hawes","GTECH","","TE","23.3","6' 5""","253 lbs","48","53","48"
"52","Jake Briningstool","CLMSN","","TE","22.3","6' 6""","241 lbs","50","54","49"
"53","Kyle McCord","SYRA","","QB","22.5","6' 3""","218 lbs","54","49","54"
"54","Mitchell Evans","ND","","TE","22","6' 5""","258 lbs","53","55","50"
"55","Riley Leonard","ND","","QB","22.6","6' 4""","216 lbs","55","52","55"
