name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Ashton Jeanty";"null";"RB";"null";12612;"12527";"UNK";6308;17;3;206
"Omarion Hampton";"null";"RB";"null";12573;"12507";"UNK";4607;33;5;573
"Cam Ward";"null";"QB";"null";12603;"12522";"UNK";4192;39;13;283
"Travis Hunter";"null";"WR";"null";12617;"12530";"UNK";4170;41;15;1273
"Tetairoa McMillan";"null";"WR";"null";12635;"12526";"UNK";4032;43;16;-209
"TreVeyon Henderson";"null";"RB";"null";12580;"12529";"UNK";3796;49;10;227
"Quinshon Judkins";"null";"RB";"null";12632;"12512";"UNK";3382;60;12;266
"Tyler Warren";"null";"TE";"null";12592;"12518";"UNK";2970;72;4;-498
"Emeka Egbuka";"null";"WR";"null";12595;"12514";"UNK";2827;78;23;-200
"Kaleb Johnson";"null";"RB";"null";12598;"12504";"UNK";2805;80;19;23
"RJ Harvey";"null";"RB";"null";12601;"12489";"UNK";2735;84;20;1157
"Colston Loveland";"null";"TE";"null";12578;"12517";"UNK";2707;86;6;-101
"Matthew Golden";"null";"WR";"null";12672;"12501";"UNK";2551;95;30;143
"Jaxson Dart";"null";"QB";"null";12609;"12508";"UNK";2539;96;25;212
"Luther Burden";"null";"WR";"null";12590;"12519";"UNK";2410;103;33;-703
"Jayden Higgins";"null";"WR";"null";12652;"12484";"UNK";2183;114;37;487
"Cam Skattebo";"null";"RB";"null";12643;"12481";"UNK";2163;118;24;71
"Tre Harris";"null";"WR";"null";12593;"12509";"UNK";2107;120;40;-70
"Jalen Milroe";"null";"QB";"null";12665;"12510";"UNK";1886;137;30;-154
"Jack Bech";"null";"WR";"null";12626;"12483";"UNK";1878;139;47;496
"Bhayshul Tuten";"null";"RB";"null";12620;"12490";"UNK";1790;149;31;286
"Shedeur Sanders";"null";"QB";"null";12587;"12524";"UNK";1776;152;31;-1201
"Mason Taylor";"null";"TE";"null";12642;"12498";"UNK";1729;156;15;347
"Tyler Shough";"null";"QB";"null";12686;"12545";"UNK";1615;168;32;1621
"Jaylin Noel";"null";"WR";"null";12710;"12536";"UNK";1589;172;55;1228
"Jaydon Blue";"null";"RB";"null";12622;"12457";"UNK";1529;176;38;425
"Kyle Williams";"null";"WR";"null";12713;"12547";"UNK";1523;177;57;1530
"Terrance Ferguson";"null";"TE";"null";12596;"12487";"UNK";1516;179;19;386
"Dylan Sampson";"null";"RB";"null";12638;"12469";"UNK";1499;180;39;-321
"Elijah Arroyo";"null";"TE";"null";12650;"12521";"UNK";1433;190;21;-101
"Devin Neal";"null";"RB";"null";12618;"12476";"UNK";1407;194;43;-539
"Jalen Royals";"null";"WR";"null";12671;"12505";"UNK";1390;197;60;-173
"Elic Ayomanor";"null";"WR";"null";12623;"12499";"UNK";1371;201;62;-380
"Harold Fannin";"null";"TE";"null";12659;"12506";"UNK";1256;220;25;-283
"Ollie Gordon";"null";"RB";"null";12616;"12495";"UNK";1183;232;53;-664
"Will Howard";"null";"QB";"null";12619;"12511";"UNK";1141;236;37;-165
"DJ Giddens";"null";"RB";"null";12656;"12471";"UNK";1003;254;60;-515
"Jordan James";"null";"RB";"null";12657;"12467";"UNK";952;261;64;-322
"Pat Bryant";"null";"WR";"null";12634;"12492";"UNK";931;265;79;212
"Quinn Ewers";"null";"QB";"null";12648;"12500";"UNK";901;267;40;-773
"Jarquez Hunter";"null";"RB";"null";11707;"11569";"UNK";848;273;67;63
"Woody Marks";"null";"RB";"null";12599;"12474";"UNK";840;274;68;-168
"Isaac TeSlaa";"null";"WR";"null";12679;"12535";"UNK";807;276;85;811
"Dillon Gabriel";"null";"QB";"null";12646;"12486";"UNK";785;277;41;-553
"Tory Horton";"null";"WR";"null";12637;"12497";"UNK";723;285;92;-280
"Brashard Smith";"null";"RB";"null";12591;"12455";"UNK";680;288;69;-449
"Xavier Restrepo";"null";"WR";"null";12649;"12520";"UNK";630;297;98;-900
"Isaiah Bond";"null";"WR";"null";12655;"12503";"UNK";616;298;99;-1139
"Savion Williams";"null";"WR";"null";12602;"12482";"UNK";587;304;100;-534
"Gunnar Helm";"null";"TE";"null";12640;"12502";"UNK";575;305;37;-618
"Trevor Etienne";"null";"RB";"null";12703;"12531";"UNK";572;306;75;378
"Kyle Monangai";"null";"RB";"null";12711;"12534";"UNK";548;308;76;549
"Tai Felton";"null";"WR";"null";12604;"12496";"UNK";538;311;102;-378
"Damien Martinez";"null";"RB";"null";12633;"12462";"UNK";518;313;77;-893
"Oronde Gadsden";"null";"TE";"null";12576;"12493";"UNK";513;318;39;-454
"Tahj Brooks";"null";"RB";"null";12688;"12543";"UNK";498;320;78;499
"Tez Johnson";"null";"WR";"null";12667;"12485";"UNK";406;332;111;-943
"Chimere Dike";"null";"WR";"null";12693;"12540";"UNK";288;357;117;290
"Dont'e Thornton";"null";"WR";"null";12706;"12541";"UNK";267;360;119;269
"Jacory Croskey-Merritt";"null";"RB";"null";12697;"12533";"UNK";239;367;95;240
"Riley Leonard";"null";"QB";"null";12613;"12470";"UNK";215;372;58;-694
"Nick Nash";"null";"WR";"null";12621;"12478";"UNK";177;379;126;-640
"Mitchell Evans";"null";"TE";"null";12614;"12473";"UNK";146;385;52;-508
"Kurtis Rourke";"null";"QB";"null";12630;"12477";"UNK";130;389;63;-493
"Kalel Mullings";"null";"RB";"null";12658;"12516";"UNK";122;392;97;-632
"LeQuint Allen";"null";"RB";"null";12714;"12544";"UNK";121;393;98;122
"Jimmy Horn";"null";"WR";"null";12600;"12523";"UNK";96;401;137;-680
"Kyle McCord";"null";"QB";"null";12647;"12494";"UNK";88;405;66;-752
